gss_code,electorate2017,electorate2018
K02000001,"46,148,035","45,775,758"
E92000001,"38,693,859","38,371,414"
W92000004,"2,261,233","2,230,104"
S92000003,"3,950,643","3,925,820"
N92000002,"1,242,300","1,248,420"
E14000530,"72,138","70,567"
E14000531,"59,373","59,382"
E14000532,"71,993","71,751"
E14000533,"68,716","68,717"
E14000534,"79,080","79,063"
E14000535,"77,478","77,738"
E14000536,"86,621","87,102"
E14000537,"67,364","67,398"
E14000538,"82,448","82,897"
E14000539,"85,795","86,431"
E14000540,"75,267","77,181"
E14000541,"63,374","63,539"
E14000542,"68,361","68,109"
E14000543,"69,078","68,505"
E14000544,"69,274","68,878"
E14000545,"81,401","80,504"
E14000546,"77,184","77,142"
E14000547,"59,887","59,722"
E14000548,"78,013","77,416"
E14000549,"72,761","69,345"
E14000550,"76,582","76,703"
E14000551,"67,524","67,589"
E14000552,"70,364","68,946"
E14000553,"83,643","85,283"
E14000554,"57,860","57,544"
E14000555,"82,056","80,064"
E14000556,"78,817","79,184"
E14000557,"80,474","80,289"
E14000558,"65,015","64,112"
E14000559,"63,062","61,964"
E14000560,"62,185","62,299"
E14000561,"63,432","62,257"
E14000562,"76,050","75,061"
E14000563,"74,810","73,784"
E14000564,"65,171","65,359"
E14000565,"70,614","69,373"
E14000566,"68,494","67,765"
E14000567,"70,191","68,606"
E14000568,"70,980","70,207"
E14000569,"67,151","67,037"
E14000570,"69,954","70,184"
E14000571,"71,059","70,578"
E14000572,"62,697","62,306"
E14000573,"56,850","55,510"
E14000574,"67,527","66,815"
E14000575,"62,420","62,153"
E14000576,"76,852","75,401"
E14000577,"73,034","72,205"
E14000578,"65,973","65,094"
E14000579,"67,682","66,819"
E14000580,"71,889","71,039"
E14000581,"73,285","72,790"
E14000582,"68,494","68,976"
E14000583,"81,097","80,462"
E14000584,"73,805","72,636"
E14000585,"71,920","70,398"
E14000586,"78,709","77,997"
E14000587,"70,315","70,555"
E14000588,"67,401","67,259"
E14000589,"67,719","67,687"
E14000590,"74,579","73,903"
E14000591,"78,959","80,101"
E14000592,"81,100","81,830"
E14000593,"82,765","81,242"
E14000594,"73,780","73,640"
E14000595,"83,194","82,849"
E14000596,"65,254","66,905"
E14000597,"64,496","64,516"
E14000598,"70,700","69,889"
E14000599,"70,366","70,253"
E14000600,"72,211","71,622"
E14000601,"80,999","80,307"
E14000602,"84,571","83,002"
E14000603,"75,784","75,704"
E14000604,"64,702","64,919"
E14000605,"72,206","71,813"
E14000606,"72,431","71,894"
E14000607,"71,464","71,544"
E14000608,"79,515","79,659"
E14000609,"64,338","63,400"
E14000610,"73,689","72,803"
E14000611,"66,842","66,766"
E14000612,"72,679","72,498"
E14000613,"87,193","86,374"
E14000614,"77,674","76,939"
E14000615,"82,759","80,554"
E14000616,"66,534","66,928"
E14000617,"74,628","72,837"
E14000618,"73,834","73,510"
E14000619,"72,949","71,821"
E14000620,"64,370","65,318"
E14000621,"70,937","71,780"
E14000622,"69,147","68,597"
E14000623,"73,818","72,684"
E14000624,"77,487","77,283"
E14000625,"78,316","78,237"
E14000626,"69,911","70,991"
E14000627,"72,568","72,504"
E14000628,"79,793","77,323"
E14000629,"62,448","60,041"
E14000630,"76,708","75,535"
E14000631,"71,259","71,646"
E14000632,"70,942","69,531"
E14000633,"83,477","82,305"
E14000634,"65,308","63,535"
E14000635,"75,179","74,381"
E14000636,"78,295","77,041"
E14000637,"75,938","77,800"
E14000638,"69,577","68,635"
E14000639,"60,576","58,639"
E14000640,"74,397","74,431"
E14000641,"73,538","65,232"
E14000642,"68,086","68,141"
E14000643,"72,556","72,890"
E14000644,"76,556","75,779"
E14000645,"81,997","81,617"
E14000646,"77,258","78,421"
E14000647,"60,843","60,723"
E14000648,"81,941","82,257"
E14000649,"74,507","73,590"
E14000650,"73,384","72,470"
E14000651,"66,328","65,009"
E14000652,"72,499","72,199"
E14000653,"78,544","78,801"
E14000654,"78,797","78,554"
E14000655,"85,565","85,196"
E14000656,"82,422","81,652"
E14000657,"69,758","70,580"
E14000658,"66,193","65,286"
E14000659,"79,107","80,824"
E14000660,"74,674","75,331"
E14000661,"65,533","65,493"
E14000662,"68,526","68,403"
E14000663,"69,244","69,620"
E14000664,"63,972","64,035"
E14000665,"70,199","69,682"
E14000666,"79,219","78,813"
E14000667,"74,203","73,649"
E14000668,"72,242","70,552"
E14000669,"72,613","71,202"
E14000670,"74,304","73,570"
E14000671,"60,966","60,543"
E14000672,"60,491","60,456"
E14000673,"74,864","73,866"
E14000674,"68,779","68,521"
E14000675,"71,599","71,867"
E14000676,"61,752","61,946"
E14000677,"61,851","60,895"
E14000678,"81,919","84,195"
E14000679,"82,302","81,899"
E14000680,"73,450","73,496"
E14000681,"80,835","80,378"
E14000682,"74,605","73,700"
E14000683,"79,349","79,849"
E14000684,"76,443","77,083"
E14000685,"80,559","80,493"
E14000686,"71,468","71,674"
E14000687,"64,759","62,857"
E14000688,"69,522","69,529"
E14000689,"78,278","78,514"
E14000690,"62,325","61,794"
E14000691,"67,417","65,699"
E14000692,"64,430","62,291"
E14000693,"73,817","73,638"
E14000694,"79,289","78,393"
E14000695,"71,029","71,333"
E14000696,"68,381","67,126"
E14000697,"79,010","77,896"
E14000698,"74,767","74,955"
E14000699,"77,881","77,843"
E14000700,"69,954","70,737"
E14000701,"80,398","79,102"
E14000702,"67,062","69,420"
E14000703,"74,821","73,033"
E14000704,"85,518","85,855"
E14000705,"70,562","70,289"
E14000706,"65,188","65,102"
E14000707,"74,980","74,415"
E14000708,"74,432","74,218"
E14000709,"64,357","62,935"
E14000710,"70,818","70,168"
E14000711,"71,936","73,283"
E14000712,"84,650","81,365"
E14000713,"73,691","72,607"
E14000714,"80,347","79,293"
E14000715,"71,601","71,123"
E14000716,"60,928","60,334"
E14000717,"69,332","69,104"
E14000718,"73,671","73,514"
E14000719,"72,932","72,280"
E14000720,"80,424","79,002"
E14000721,"78,027","75,991"
E14000722,"68,324","66,827"
E14000723,"69,960","69,954"
E14000724,"69,967","70,534"
E14000725,"72,668","69,917"
E14000726,"70,233","68,846"
E14000727,"79,689","76,902"
E14000728,"77,395","77,837"
E14000729,"67,164","66,191"
E14000730,"76,053","75,034"
E14000731,"71,585","70,662"
E14000732,"69,370","68,876"
E14000733,"70,032","69,713"
E14000734,"70,984","71,104"
E14000735,"76,549","76,063"
E14000736,"71,961","71,061"
E14000737,"71,666","69,422"
E14000738,"62,184","61,903"
E14000739,"73,736","72,667"
E14000740,"72,036","71,271"
E14000741,"78,319","77,481"
E14000742,"73,509","74,022"
E14000743,"70,004","69,978"
E14000744,"81,051","79,758"
E14000745,"72,251","71,293"
E14000746,"59,856","59,298"
E14000747,"79,317","78,922"
E14000748,"71,880","72,126"
E14000749,"75,053","74,374"
E14000750,"85,057","78,956"
E14000751,"81,200","80,377"
E14000752,"78,887","77,483"
E14000753,"82,362","82,893"
E14000754,"67,391","67,247"
E14000755,"71,145","69,897"
E14000756,"63,751","63,007"
E14000757,"83,371","83,328"
E14000758,"67,418","69,257"
E14000759,"73,538","70,159"
E14000760,"86,396","80,492"
E14000761,"73,477","72,993"
E14000762,"109,938","108,125"
E14000763,"71,051","68,908"
E14000764,"65,852","64,268"
E14000765,"64,777","64,524"
E14000766,"70,604","70,471"
E14000767,"65,349","65,440"
E14000768,"60,674","57,627"
E14000769,"70,589","70,486"
E14000770,"79,885","78,097"
E14000771,"65,032","64,593"
E14000772,"62,738","61,400"
E14000773,"59,081","58,638"
E14000774,"65,061","66,943"
E14000775,"81,749","82,373"
E14000776,"68,601","66,699"
E14000777,"84,272","78,095"
E14000778,"64,623","64,579"
E14000779,"67,590","67,264"
E14000780,"60,552","58,553"
E14000781,"65,021","63,954"
E14000782,"78,895","78,176"
E14000783,"75,341","73,097"
E14000784,"65,035","63,542"
E14000785,"74,941","74,672"
E14000786,"68,694","68,584"
E14000787,"65,970","65,020"
E14000788,"71,150","70,426"
E14000789,"74,576","72,385"
E14000790,"63,702","61,375"
E14000791,"73,486","73,876"
E14000792,"68,484","66,987"
E14000793,"69,419","68,526"
E14000794,"61,318","60,265"
E14000795,"60,506","59,759"
E14000796,"64,351","63,902"
E14000797,"73,863","73,927"
E14000798,"78,472","78,101"
E14000799,"67,403","66,675"
E14000800,"66,272","66,823"
E14000801,"66,055","66,626"
E14000802,"75,098","75,004"
E14000803,"74,951","73,784"
E14000804,"71,956","73,166"
E14000805,"73,355","72,966"
E14000806,"70,981","70,782"
E14000807,"88,488","86,233"
E14000808,"73,951","72,577"
E14000809,"71,330","69,948"
E14000810,"76,181","76,202"
E14000811,"73,491","73,406"
E14000812,"81,525","81,415"
E14000813,"84,212","84,055"
E14000814,"66,957","66,555"
E14000815,"64,277","63,546"
E14000816,"80,060","78,191"
E14000817,"83,395","83,064"
E14000818,"75,796","76,171"
E14000819,"59,744","58,518"
E14000820,"71,264","70,900"
E14000821,"88,630","87,654"
E14000822,"92,011","92,000"
E14000823,"67,669","67,449"
E14000824,"73,677","72,615"
E14000825,"68,246","65,474"
E14000826,"75,424","76,337"
E14000827,"72,256","72,167"
E14000828,"68,559","68,765"
